author,img,intro,name,state,type,url
辰东,//bookcover.yuewen.com/qdbimg/349573/1004608738/150,在破败中崛起，在寂灭中复苏。沧海成尘，雷电枯竭，那一缕幽雾又一次临近大地，世间的枷锁被打开了，一个全新的世界就此揭开神秘的一角……,圣墟,连载中,东方玄幻,//book.qidian.com/info/1004608738
我吃西红柿,//bookcover.yuewen.com/qdbimg/349573/1010468795/150,在这个世界，有狐仙、河神、水怪、大妖，也有求长生的修行者。修行者们，开法眼，可看妖魔鬼怪。炼一口飞剑，可千里杀敌。千里眼、顺风耳，更可探查四方。……秦府二公子‘秦云’，便是一位修行者……,飞剑问道,连载中,古典仙侠,//book.qidian.com/info/1010468795
圣骑士的传说,//bookcover.yuewen.com/qdbimg/349573/3602691/150,某天，宋书航意外加入了一个仙侠中二病资深患者的交流群，里面的群友们都以‘道友’相称，群名片都是各种府主、洞主、真人、天师。连群主走失的宠物犬都称为大妖犬离家出走。整天聊的是炼丹、闯秘境、炼功经验啥的。,修真聊天群,连载中,异术超能,//book.qidian.com/info/3602691
宅猪,//bookcover.yuewen.com/qdbimg/349573/1009704712/150,大墟的祖训说，天黑，别出门。大墟残老村的老弱病残们从江边捡到了一个婴儿，取名秦牧，含辛茹苦将他养大。这一天夜幕降临，黑暗笼罩大墟，秦牧走出了家门……做个春风中荡漾的反派吧！瞎子对他说。秦牧的反派之路，,牧神记,连载中,东方玄幻,//book.qidian.com/info/1009704712
孑与2,//bookcover.yuewen.com/qdbimg/349573/1010136878/150,我们接受了祖先的遗产，这让中华辉煌了数千年，我们是如此的心安理得，从未想过要回归那个在刀耕火种中苦苦寻找出路的时代。反哺我们苦难的祖先，并从中找到故乡的真正意义，将是本书要讲的故事。,汉乡,连载中,架空历史,//book.qidian.com/info/1010136878
唐家三少,//bookcover.yuewen.com/qdbimg/349573/3681560/150,伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！唐舞麟立志要成,斗罗大陆III龙王传说,连载中,异世大陆,//book.qidian.com/info/3681560
会说话的肘子,//bookcover.yuewen.com/qdbimg/349573/1010191960/150,高中生吕树在一场车祸中改变人生，当灵气复苏时代来袭，他要做这时代的领跑者。物竞天择，胜者为王。……全订验证群号：696087569,大王饶命,连载中,都市生活,//book.qidian.com/info/1010191960
横扫天涯,//bookcover.yuewen.com/qdbimg/349573/1004179514/150,【2017最火玄幻作品，海外点推双榜第一】张悬穿越异界，成了一名光荣的教师，脑海中多出了一个神秘的图书馆。只要他看过的东西，无论人还是物，都能自动形成书籍，记录下对方各种各样的缺点，于是，他牛大了！教,天道图书馆,连载中,异世大陆,//book.qidian.com/info/1004179514
争斤论两花花帽,//bookcover.yuewen.com/qdbimg/349573/1003541158/150,一觉醒来，回到70年代，再次面对过往，你猜不透的结局..........,我的1979,连载中,都市生活,//book.qidian.com/info/1003541158
迪巴拉爵士,//bookcover.yuewen.com/qdbimg/349573/1004185492/150,方醒穿了，带着两个仓库穿了！别人穿越是带着王霸之气，方醒却是只想种田！“我只想在这个时代悠闲的活着！”坐拥大别墅，顺便教几个弟子，努力让他们往上爬，好给自己当靠山！可谁想弟子有些不靠谱，居然是....,带着仓库到大明,连载中,两宋元明,//book.qidian.com/info/1004185492
寒门,//bookcover.yuewen.com/qdbimg/349573/1009915605/150,“粑粑！”刚穿越到平行世界，就看到有个精致可爱的小女孩喊自己爸爸，杨轶表示有些懵逼。好吧，曦曦是百分之百的亲女儿，而孩子她妈居然是高冷绝美的过气歌后。这乐子闹大咯！问题也接踵而至。怎么哄娃？前世是孤胆,奶爸的文艺人生,完本,娱乐明星,//book.qidian.com/info/1009915605
耳根,//bookcover.yuewen.com/qdbimg/349573/1003354631/150,一念成沧海，一念化桑田。一念斩千魔，一念诛万仙。唯我念……永恒这是耳根继《仙逆》《求魔》《我欲封天》后，创作的第四部长篇小说《一念永恒》,一念永恒,连载中,幻想修仙,//book.qidian.com/info/1003354631
忘语,//bookcover.yuewen.com/qdbimg/349573/1010734492/150,凡人修仙，风云再起时空穿梭，轮回逆转金仙太乙，大罗道祖三千大道，法则至尊《凡人修仙传》仙界篇，一个韩立叱咤仙界的故事，一个凡人小子修仙的不灭传说。特说明下，没有看过前传的书友，并不影响本书的阅读体验，,凡人修仙之仙界篇,连载中,神话修真,//book.qidian.com/info/1010734492
滚开,//bookcover.yuewen.com/qdbimg/349573/1005401501/150,妖魔横行，世人苦难。神兵魔刃，遮耀天下。手机上的一款游戏修改器，意外成了路胜脑海里的异能。也成了他在这个黑暗乱世唯一的依靠。~~~~~~~欢迎加入企鹅群滚开书友群，群号码：331453690V群号码：,极道天魔,连载中,修真文明,//book.qidian.com/info/1005401501
骷髅精灵,//bookcover.yuewen.com/qdbimg/349573/1003694333/150,双月当空，无限可能的英魂世界孤寂黑暗，神秘古怪的嬉命小丑百城联邦，三大帝国，异族横行，魂兽霸幽这是一个英雄辈出的年代，人类卧薪尝胆重掌地球主权，孕育着进军高纬度的野望！重点是……二年级的废柴学长王同学,斗战狂潮,连载中,修真文明,//book.qidian.com/info/1003694333
跃千愁,//bookcover.yuewen.com/qdbimg/349573/1005236478/150,一个地球神级盗墓宗师，闯入修真界的故事……桃花源里，有歌声。山外青山，白骨山。五花马，千金裘，倚天剑。应我多情，啾啾鬼鸣，美人薄嗔。天地无垠，谁家旗鼓，碧落黄泉，万古高楼。为义气争雄！为乱世争霸！你好,道君,连载中,幻想修仙,//book.qidian.com/info/1005236478
老鹰吃小鸡,//bookcover.yuewen.com/qdbimg/349573/1003580078/150,当重生成为一种潮流，李东也幸运地赶上了重生的马车。上辈子遗憾太多，这辈子且让他一一弥补！看小人物重回2004，亲情爱情双丰收，发家致富两不误！新书《全球高武》已发布，求支持！（读者群:25060530,重生之财源滚滚,完本,都市生活,//book.qidian.com/info/1003580078
